title,link,content_excerpt,direct_classification,direct_reason,direct_confidence,indirect_classification,indirect_reason,indirect_confidence,final_label,final_reason
윤석열: 이기고오겠다 시발 ㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439894&page=2,- dc official App......,욕설 사용,제목에 '시발'이라는 욕설이 사용됨,0.99,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '시발'이라는 욕설이 사용됨
이 시대 스윗남,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439893&page=2,"""윤 두 창"" - dc official App......",욕설 사용,두창,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 두창
4050 씹새들 찢아들 따라서 요도팔 생각에 싱글벙글,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439892&page=2,ㅋㅋㅋㅋㅋㅋㅋ......,욕설 사용,제목에 '씹새'라는 욕설이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '씹새'라는 욕설이 사용됨
틀구이 승률 0퍼 ㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439891&page=2,ㅋㅋㅋㅋㅋㅋ......,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
몇 달 후 국민의힘 .jpg,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439890&page=2,내용 없음...,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
걍 이 짤보니까 오히려 맘이편해짐,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439889&page=2,2030405060 가지각색으로 병신같은 “망할만해서 망하는구나”......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,간접 비방,다양한 연령대를 '병신같다'고 일반화하여 특정 대상을 조롱하고 비하하는 의도가 있다고 판단됨.,0.85,간접 비방,2차 확정: 다양한 연령대를 '병신같다'고 일반화하여 특정 대상을 조롱하고 비하하는 의도가 있다고 판단됨.
아니 2찍들아 찢재명 당선된거,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439888&page=2,느그 대석열 때문이라니까? 이대남 때문 아니라고ㅋㅋㅋㅋㅋ......,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
아무튼 찢강점기 잘버텨봐 ~,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439887&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목 '아무튼 찢강점기 잘버텨봐 ~'는 특정 정치인을 폄훼하는 표현인 'XX강점기'를 사용하여, 특정 대상을 부정적으로 비방하고 조롱하려는 의도가 있다고 판단됨.",0.90,간접 비방,"2차 확정: 제목 '아무튼 찢강점기 잘버텨봐 ~'는 특정 정치인을 폄훼하는 표현인 'XX강점기'를 사용하여, 특정 대상을 부정적으로 비방하고 조롱하려는 의도가 있다고 판단됨."
이 나라는 독재자 2명 없었으면 북한임 그냥 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439886&page=2,그게 딱 나라 수준임......,일반글,직접적인 욕설 없음,1.00,간접 비방,"""이 나라는 독재자 2명 없었으면 북한임 그냥 ㅋㅋ""이라는 표현은 특정 정치적 상황 또는 인물을 '독재자'와 '북한'에 빗대어 부정적으로 평가하고 조롱하려는 의도로 해석될 수 있습니다. 이는 현재의 대한민국 정치 시스템이나 특정 인물에 대한 악의적인 비방으로 간주될 수 있습니다.",0.90,간접 비방,"2차 확정: ""이 나라는 독재자 2명 없었으면 북한임 그냥 ㅋㅋ""이라는 표현은 특정 정치적 상황 또는 인물을 '독재자'와 '북한'에 빗대어 부정적으로 평가하고 조롱하려는 의도로 해석될 수 있습니다. 이는 현재의 대한민국 정치 시스템이나 특정 인물에 대한 악의적인 비방으로 간주될 수 있습니다."
준스톤은 정치를 좀 대국적으로 해야됨 ㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439883&page=2,이재명도 친문들이랑 존나 사이좋아서 정치생활 내내 좆비비면서 살아온게 아닌데 ㅋㅋ......,욕설 사용,내용에 '좆'이 포함되어 있습니다.,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 내용에 '좆'이 포함되어 있습니다.
울산 배신감 좆되네 ㄹㅇ..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439884&page=2,부산이랑 울산이 압도적으로 이겼음 몰랐다.. ㅇㅇ 나 해운대 센텀에 사는데 당연히 김문수 찍음 ㅋㅋ......,욕설 사용,제목에 '좆되네'라는 욕설이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆되네'라는 욕설이 사용됨
이대남은 앞으로도 백전 백패 ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439882&page=2,영포티+이대녀+삼대녀 밑에서 패배한 마케이누 세대로 영원히 노예 생활 6070이랑 갈라섰고 10대도 어짜피 남녀 반반이라 영포티를 이길수 없음......,일반글,직접적인 욕설 없음,1.00,간접 비방,"""이대남은 앞으로도 백전 백패 ㅋㅋㅋㅋ"", ""패배한 마케이누 세대로 영원히 노예 생활"" 등 특정 집단을 조롱하고 비하하는 표현을 사용하고 있다.",0.90,간접 비방,"2차 확정: ""이대남은 앞으로도 백전 백패 ㅋㅋㅋㅋ"", ""패배한 마케이누 세대로 영원히 노예 생활"" 등 특정 집단을 조롱하고 비하하는 표현을 사용하고 있다."
이대남삼대남 사람취급만 해줬어도 국힘20 민주70이었을듯 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439881&page=2,문재인 대단하다! - dc official App......,일반글,직접적인 욕설 없음,1.00,간접 비방,"이대남/삼대남을 특정 정치 성향과 연결지어 조롱하고, 특정 정치인(문재인)을 언급하며 비꼬는 뉘앙스를 풍김. '사람취급'이라는 표현을 통해 특정 세대를 낮잡아보는 의도가 있다고 판단됨.",0.85,간접 비방,"2차 확정: 이대남/삼대남을 특정 정치 성향과 연결지어 조롱하고, 특정 정치인(문재인)을 언급하며 비꼬는 뉘앙스를 풍김. '사람취급'이라는 표현을 통해 특정 세대를 낮잡아보는 의도가 있다고 판단됨."
조국 광복절특사로 나오겠네,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439880&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"조국 전 장관을 광복절 특사에 빗대어, 그의 과거 논란을 상기시키며 부정적 이미지를 강화하고 조롱하려는 의도가 있다고 판단됨.",0.90,간접 비방,"2차 확정: 조국 전 장관을 광복절 특사에 빗대어, 그의 과거 논란을 상기시키며 부정적 이미지를 강화하고 조롱하려는 의도가 있다고 판단됨."
대체로 4찍은 젊은 편임,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439879&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 정치 성향을 가진 사람들을 '젊은 편'이라고 표현하며, 해당 성향을 가진 사람들을 폄하하려는 의도가 있다고 판단됨. 이는 특정 집단에 대한 조롱으로 해석될 수 있음.",0.85,간접 비방,"2차 확정: 특정 정치 성향을 가진 사람들을 '젊은 편'이라고 표현하며, 해당 성향을 가진 사람들을 폄하하려는 의도가 있다고 판단됨. 이는 특정 집단에 대한 조롱으로 해석될 수 있음."
틀힘당 존나 웃긴게,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439878&page=2,본문 내용을 찾을 수 없습니다....,욕설 사용,존나,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 존나
4050이 민주당 지지하는건 본인 득실과 관계없음,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439877&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,일반글,본문 내용이 없어 판단 불가,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
걍 진짜 병1신은 딱하나,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439876&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
2찍 if도르 좆지리네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439875&page=2,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '좆'이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆'이 사용됨
"이대남들아, 4050한테 복수하는법 알려준다ㅋㅋㅋㅋ",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439874&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이재명 53 김문수 33 이준석 13 원했던 페미들은 개추 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439873&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
22년도엔 여성부폐지 공약 /25년도엔 여성부확대개편,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439872&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
솔직히 문수햄은 잘못없으면 개추ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439871&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 '문수햄'이라는 특정 인물을 언급하며, '잘못없으면 개추'라는 표현을 사용하여 해당 인물에 대한 평가를 유도하고, 긍정적 평가를 받지 못할 경우 부정적 의미를 내포하는 것으로 해석될 수 있어 간접적인 조롱의 의도가 있다고 판단됨.",0.80,간접 비방,"2차 확정: 제목에서 '문수햄'이라는 특정 인물을 언급하며, '잘못없으면 개추'라는 표현을 사용하여 해당 인물에 대한 평가를 유도하고, 긍정적 평가를 받지 못할 경우 부정적 의미를 내포하는 것으로 해석될 수 있어 간접적인 조롱의 의도가 있다고 판단됨."
윤두창 찍어줘서 나온 결과가,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439870&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,0.95,간접 비방,"제목에서 '윤두창'이라는 표현을 사용하여 윤석열 대통령을 비하하고 있으며, 특정 정치적 선택의 결과에 대한 불만을 해당 인물의 이름과 결부시켜 조롱하고 있습니다.",0.90,간접 비방,"2차 확정: 제목에서 '윤두창'이라는 표현을 사용하여 윤석열 대통령을 비하하고 있으며, 특정 정치적 선택의 결과에 대한 불만을 해당 인물의 이름과 결부시켜 조롱하고 있습니다."
국힘 세대교체 완료?? 수고하셨습니다???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439869&page=2,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 사용되지 않았습니다.,1.00,간접 비방,"제목에서 '국힘 세대교체 완료?? 수고하셨습니다???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'라고 표현하며, 국민의힘의 세대교체 시도에 대해 비꼬는 뉘앙스를 풍기고 있다. '수고하셨습니다???'와 웃음 표현을 통해 긍정적인 평가가 아님을 암시하며 조롱하고 있다.",0.85,간접 비방,"2차 확정: 제목에서 '국힘 세대교체 완료?? 수고하셨습니다???ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ'라고 표현하며, 국민의힘의 세대교체 시도에 대해 비꼬는 뉘앙스를 풍기고 있다. '수고하셨습니다???'와 웃음 표현을 통해 긍정적인 평가가 아님을 암시하며 조롱하고 있다."
이나라는 정작 이승만이 건국하고 박정희랑 전두환이 다져놓은 기반에서,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439868&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,일반글,본문 내용이 없어 특정 대상을 공격/조롱/명예훼손하려는 의도를 판단할 수 없음.,0.90,일반글,직접 욕설 및 간접 비방 모두 아님
투표 차가 280ㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439867&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목 '투표 차가 280ㅋㅋㅋㅋ'는 구체적인 맥락이 없이는 단정하기 어렵지만, '투표 차'라는 단어와 비웃는 표현('ㅋㅋㅋㅋ')의 조합은 특정 투표 결과나 인물/집단을 조롱하려는 의도로 해석될 수 있음. 투표 결과를 희화화하여 특정 대상의 명예를 훼손하려는 간접적 시도로 추정됨.",0.80,간접 비방,"2차 확정: 제목 '투표 차가 280ㅋㅋㅋㅋ'는 구체적인 맥락이 없이는 단정하기 어렵지만, '투표 차'라는 단어와 비웃는 표현('ㅋㅋㅋㅋ')의 조합은 특정 투표 결과나 인물/집단을 조롱하려는 의도로 해석될 수 있음. 투표 결과를 희화화하여 특정 대상의 명예를 훼손하려는 간접적 시도로 추정됨."
가장 충격적인점,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439864&page=2,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설 단어 사용 여부를 판단할 수 없음,1.00,일반글,본문 내용이 없어 판단 불가,0.50,일반글,직접 욕설 및 간접 비방 모두 아님
이제 지금 애새기들 다 우파로 키워지겠노 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439863&page=2,본문 내용을 찾을 수 없습니다....,욕설 사용,애새기,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 애새기
"백신부작용, 부정선거, 휴거 다 없는거야 저능아새끼들아",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439861&page=2,본문 내용을 찾을 수 없습니다....,욕설 사용,저능아새끼,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 저능아새끼
"윤석열 사형, 김건희 사형, 이준석 구속",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439860&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"제목에서 특정 인물에 대한 사형 및 구속을 직접적으로 언급하며, 이는 극단적인 표현을 통해 해당 인물들을 공격하고 조롱하려는 의도로 해석될 수 있습니다.",0.95,간접 비방,"2차 확정: 제목에서 특정 인물에 대한 사형 및 구속을 직접적으로 언급하며, 이는 극단적인 표현을 통해 해당 인물들을 공격하고 조롱하려는 의도로 해석될 수 있습니다."
이준석한테 전광훈 김문수가 흡수되는게 맞지,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439859&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
2찍들 진짜 좀 모자라긴하노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439858&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
윤석열이 이대남 통수안치고 국짐에서 이준석 내쫓지만않았어도 되는거아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439857&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
윤통이 오히려 2대남들 갈라치기 씹창내놓음.,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439856&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
내란당이 이준석 임금개혁만 따라했어도 5퍼는 더먹었겠다 ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439855&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 정당을 '내란당'이라고 지칭하며, 특정 정치인의 정책을 따라하지 못해 지지율이 낮다고 조롱하고 있다. '내란'이라는 단어 자체가 매우 부정적인 의미를 내포하고 있으며, 이를 통해 해당 정당을 비방하려는 의도가 명확하다.",0.90,간접 비방,"2차 확정: 특정 정당을 '내란당'이라고 지칭하며, 특정 정치인의 정책을 따라하지 못해 지지율이 낮다고 조롱하고 있다. '내란'이라는 단어 자체가 매우 부정적인 의미를 내포하고 있으며, 이를 통해 해당 정당을 비방하려는 의도가 명확하다."
페미가 선거 이겨도 새벽까지 지랄하는건 처음임 ㅇㅇ..,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439854&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,제목에서 '페미'라는 특정 집단을 지칭하며 '선거 이겨도 새벽까지 지랄'이라는 부정적 표현을 사용하여 해당 집단을 조롱하고 희화화하려는 의도가 있다고 판단됨.,0.85,간접 비방,2차 확정: 제목에서 '페미'라는 특정 집단을 지칭하며 '선거 이겨도 새벽까지 지랄'이라는 부정적 표현을 사용하여 해당 집단을 조롱하고 희화화하려는 의도가 있다고 판단됨.
우리 이제 야짤 못달리는거지?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439853&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,일반글,본문 내용이 없어 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악할 수 없음.,0.90,일반글,직접 욕설 및 간접 비방 모두 아님
농사지으러 가야겠노,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439852&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설이 사용되지 않았습니다.,1.00,일반글,본문 내용이 없어 판단 불가. 제목만으로는 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악하기 어렵다.,0.10,일반글,직접 욕설 및 간접 비방 모두 아님
좆대남 = 쉬었음하면서 4050 용돈 배급받음 ㅇㅇ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439851&page=2,본문 내용을 찾을 수 없습니다....,욕설 사용,제목에 '좆'이 사용됨,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 제목에 '좆'이 사용됨
이대남 <<<< “즉각반응형 인간”,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439850&page=2,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 사용되지 않았습니다.,1.00,간접 비방,"제목에서 '이대남'을 '즉각반응형 인간'이라는 다소 부정적인 뉘앙스의 표현과 비교하며, 특정 집단을 낮추려는 의도가 있다고 판단됨.",0.80,간접 비방,"2차 확정: 제목에서 '이대남'을 '즉각반응형 인간'이라는 다소 부정적인 뉘앙스의 표현과 비교하며, 특정 집단을 낮추려는 의도가 있다고 판단됨."
영포티 틀딱들은 아무 손해도 없음 ㅋㅋㅋㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439849&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,0.95,간접 비방,"제목에서 '영포티 틀딱'이라는 표현을 사용하여 특정 연령대를 비하하고 조롱하고 있으며, '아무 손해도 없음 ㅋㅋㅋㅋㅋ'라는 문구를 통해 해당 집단에 대한 부정적인 감정을 희화화하여 표현하고 있습니다.",0.90,간접 비방,"2차 확정: 제목에서 '영포티 틀딱'이라는 표현을 사용하여 특정 연령대를 비하하고 조롱하고 있으며, '아무 손해도 없음 ㅋㅋㅋㅋㅋ'라는 문구를 통해 해당 집단에 대한 부정적인 감정을 희화화하여 표현하고 있습니다."
1찍 이대남만 개추,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439848&page=2,본문 내용을 찾을 수 없습니다....,욕설 사용,개,0.95,미실행,1차에서 욕설 확정,0.00,욕설 사용,1차 확정: 개
"전국 표차이 280만,   전라도 표차이 260만  ㅋㅋㅋㅋ",https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439847&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,간접 비방,"특정 지역의 표 차이를 강조하며 비웃는 표현은, 해당 지역 유권자나 지지 세력에 대한 조롱으로 해석될 수 있습니다. 전국 표 차이와 특정 지역 표 차이를 비교하며 'ㅋㅋㅋㅋ'와 같은 웃음 표현을 사용한 것은 혐오 감정을 드러내고 대상을 희화화하려는 의도로 보입니다.",0.90,간접 비방,"2차 확정: 특정 지역의 표 차이를 강조하며 비웃는 표현은, 해당 지역 유권자나 지지 세력에 대한 조롱으로 해석될 수 있습니다. 전국 표 차이와 특정 지역 표 차이를 비교하며 'ㅋㅋㅋㅋ'와 같은 웃음 표현을 사용한 것은 혐오 감정을 드러내고 대상을 희화화하려는 의도로 보입니다."
준석견들이 모르는것.jyp,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439846&page=2,본문 내용을 찾을 수 없습니다....,일반글,직접적인 욕설 없음,1.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이재명이 친중이란 빡대가리들을 위해 설명해줌,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439844&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
여성부폐지 구라쳐서 대통령됐으면 니들도 통수맞아봐야지ㅋㅋ,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439843&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
이대남들아 니들 가스라이팅 당한거야,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439842&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,일반글,직접 욕설 및 간접 비방 모두 아님
홍준표좀 빨지마라,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439841&page=2,본문 내용을 찾을 수 없습니다....,분석 실패 (API 할당량),"429 You exceeded your current quota, please check your plan and billing details. For more information on this error, hea",0.00,간접 비방,"제목에서 특정 인물(홍준표)에 대한 맹목적인 지지를 비판하며, '빨지마라'는 표현을 사용하여 혐오감을 드러내고 있음. 이는 맹목적 지지자들을 조롱하려는 의도로 해석될 수 있으며, 간접적인 비방에 해당함.",0.80,간접 비방,"2차 확정: 제목에서 특정 인물(홍준표)에 대한 맹목적인 지지를 비판하며, '빨지마라'는 표현을 사용하여 혐오감을 드러내고 있음. 이는 맹목적 지지자들을 조롱하려는 의도로 해석될 수 있으며, 간접적인 비방에 해당함."
국민의힘은 사실상 해체 수순 아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439839&page=2,본문 내용을 찾을 수 없습니다....,일반글,본문 내용이 없어 직접적인 욕설 단어는 발견되지 않았습니다.,1.00,일반글,제목만으로는 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악하기 어렵습니다. 단순히 정당의 상황에 대한 의문을 제기하는 것으로 해석될 수 있습니다.,0.20,일반글,직접 욕설 및 간접 비방 모두 아님
국민의힘은 사실상 해체 수순 아님?,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439839&page=3,본문 내용을 찾을 수 없습니다....,일반글,"본문 내용이 없어 직접적인 욕설을 포함하는지 판단할 수 없으나, 제목만으로는 욕설이 사용되지 않았음",1.00,일반글,제목만으로는 특정 대상을 공격/조롱/명예훼손하려는 의도를 파악하기 어렵습니다. 본문 내용이 없어 판단 불가합니다.,0.10,일반글,직접 욕설 및 간접 비방 모두 아님
이대녀삼대녀 영포티 연합 승리후 이제 배당받을차례,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439838&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 사용되지 않았습니다.,1.00,간접 비방,"특정 세대(이대녀, 삼대녀, 영포티)를 묶어 '연합'과 '배당'이라는 단어를 사용하여, 마치 이들이 부당한 이익을 취하는 집단처럼 비춰지게 함. 이는 특정 세대에 대한 부정적인 인식을 유도하고 조롱하는 의도로 해석될 수 있음.",0.85,간접 비방,"2차 확정: 특정 세대(이대녀, 삼대녀, 영포티)를 묶어 '연합'과 '배당'이라는 단어를 사용하여, 마치 이들이 부당한 이익을 취하는 집단처럼 비춰지게 함. 이는 특정 세대에 대한 부정적인 인식을 유도하고 조롱하는 의도로 해석될 수 있음."
계엄으로 야당 민주당 잡는거자체가 일당독재체제하겠다는거다,https://gall.dcinside.com/board/view/?id=baseball_new11&no=18439837&page=3,본문 내용을 찾을 수 없습니다....,일반글,제목과 내용에 직접적인 욕설이 사용되지 않았습니다.,1.00,일반글,계엄과 일당 독재 체제를 연결하여 민주당을 직접적으로 비방하거나 조롱하는 내용이 있다고 보기 어렵습니다. 특정 대상을 공격하려는 의도가 명확하게 드러나지 않습니다.,0.80,일반글,직접 욕설 및 간접 비방 모두 아님
